F062,F087,F106,F129,F146,F158,F184,F213,psf_cutout_pixel_width
0.7885936629837409,0.7154397875793677,0.6955811300163639,0.6546465186316845,0.6928610651540835,0.6441182677254031,0.6646007487661663,0.7406753001691869,3
0.8058436299481957,0.7089987221609113,0.6520376907654515,0.6522885222773591,0.7229955511640329,0.7066787468536077,0.7485435860426674,0.7963344885085486,5
0.8167090007315203,0.7195164272128994,0.6619688716181282,0.662120452153943,0.7306177470794586,0.696930418581768,0.7210771325984298,0.8173860568328579,7
0.8247516313316238,0.7262959902076611,0.6698490007903604,0.6695398266617247,0.7403393435149972,0.7048172256122471,0.7276462280113163,0.8107794964976149,9
0.8306291024426027,0.7325238363759365,0.6752657616443436,0.6759093799131821,0.7477404489015846,0.7110470980954889,0.7310448662280089,0.8146578946130641,11
0.8348934133609368,0.7372665659797627,0.6802592396254398,0.6803071033496015,0.753430243192132,0.7168337851874009,0.7359012783335583,0.8180854664126014,13
0.8382082172175906,0.7411948406054075,0.6841816284156499,0.6845594910622756,0.7581771470772317,0.7207616021860365,0.7429217298865101,0.822010134179382,15
0.8408248296034095,0.7442896479208452,0.6874050212872249,0.6880385003416258,0.7620283466915265,0.724459498947899,0.7467152389990823,0.8289431070492095,17
0.8428468627063695,0.7468032487734984,0.6902402073272177,0.6910263928322902,0.7654176433818078,0.7279996924476794,0.7505251930567323,0.8326526667683396,19
0.8444485337762524,0.7489258112416328,0.6926013360589809,0.6936529139077758,0.768418167376713,0.730896962497369,0.7538834465023239,0.8357187469253324,21
0.8468958937020417,0.7520015303427503,0.6962941371254029,0.6979869926109505,0.7732754623672864,0.7358426717554981,0.7597777241032557,0.842055951476474,25
0.8495180764127095,0.7547437845331997,0.6999415871075603,0.7026088736868569,0.7785126546162688,0.7415904123248679,0.7659773140015553,0.8499020033652914,31
0.8525344679323703,0.757275756132173,0.702984002228519,0.706927072236089,0.7836913904185087,0.747739963795409,0.7732963390544568,0.8586250821441493,41
0.8545338968255396,0.7589648575669752,0.7045519142696509,0.7089818912952308,0.7864418436029563,0.7510728078971233,0.7773586341390111,0.8641128939132343,51
0.8565862370929131,0.7617238909483008,0.7071546949841343,0.7114263906458596,0.7896509802587395,0.7541919392269718,0.781546875966895,0.8702168365864035,75
0.8575761749765665,0.7628549059161058,0.7086581803933252,0.7132944819127589,0.7915048391247321,0.756054824075652,0.7836270808020828,0.8727262053035125,101
0.8583694098954514,0.763936418943398,0.7098406080796285,0.7147181723909,0.7932906583558705,0.7581506294229441,0.7863231394021195,0.8759269863830896,151
0.8586691681935893,0.764409632740547,0.7104114148656644,0.7154397674985995,0.794100921495525,0.7590275212760951,0.7874031636594704,0.8773307852964782,201
0.8589257335071987,0.7648193970154458,0.710922123766251,0.7161051252889901,0.7948898342163102,0.759908650620142,0.7885399710780756,0.8787645428500394,301
